M,Opponent,Date,Result,Event
373,Peru,"February 16, 2000",1–0,Gold Cup GS
374,Colombia,"February 19, 2000",2(1)–2(2),Gold Cup QF
375,Tunisia,"March 12, 2000",1–1,Friendly
376,Russia,"April 26, 2000",0–2,Friendly
377,South Africa,"June 3, 2000",4–0,U.S. Cup
378,Republic of Ireland,"June 6, 2000",1–1,U.S. Cup
379,Mexico,"June 11, 2000",3–0,U.S. Cup
380,Guatemala,"July 16, 2000",1–1,World Cup Q
381,Costa Rica,"July 23, 2000",1–2,World Cup Q
382,Barbados,"August 16, 2000",7–0,World Cup Q
383,Guatemala,"September 3, 2000",1–0,World Cup Q
384,Costa Rica,"October 11, 2000",0–0,World Cup Q
385,Mexico,"October 25, 2000",2–0,Friendly
386,Barbados,"November 15, 2000",4–0,World Cup Q
387,China,"January 27, 2001",2–1,Friendly
388,Colombia,"February 3, 2001",0–1,Friendly
389,Mexico,"February 28, 2001",2–0,World Cup Q
390,Brazil,"March 3, 2001",1–2,Friendly
391,Honduras,"March 28, 2001",2–1,World Cup Q
392,Costa Rica,"April 25, 2001",1–0,World Cup Q
393,Ecuador,"June 7, 2001",0–0,Friendly
394,Jamaica,"June 16, 2001",0–0,World Cup Q
395,Trinidad and Tobago,"June 20, 2001",2–0,World Cup Q
396,Mexico,"July 1, 2001",0–1,World Cup Q
397,Honduras,"September 1, 2001",2–3,World Cup Q
398,Costa Rica,"September 5, 2001",0–2,World Cup Q
399,Jamaica,"October 7, 2001",2–1,World Cup Q
400,Trinidad and Tobago,"November 11, 2001",0–0,World Cup Q
401,South Korea,"December 9, 2001",0–1,Friendly
402,South Korea,"January 19, 2002",2–1,Gold Cup GS
403,Cuba,"January 21, 2002",1–0,Gold Cup GS
404,El Salvador,"January 27, 2002",4–0,Gold Cup QF
405,Canada,"January 30, 2002",0(4)–0(2),Gold Cup SF
406,Costa Rica,"February 2, 2002",2–0,Gold Cup F
407,Italy,"February 13, 2002",0–1,Friendly
408,Honduras,"March 2, 2002",4–0,Friendly
409,Ecuador,"March 10, 2002",1–0,Friendly
410,Germany,"March 27, 2002",2–4,Friendly
411,Mexico,"April 3, 2002",1–0,Friendly
412,Republic of Ireland,"April 17, 2002",1–2,Friendly
413,Uruguay,"May 12, 2002",2–1,Friendly
414,Jamaica,"May 16, 2002",5–0,Friendly
415,Netherlands,"May 19, 2002",0–2,Friendly
416,Portugal,"June 5, 2002",3–2,World Cup GS
417,South Korea,"June 10, 2002",1–1,World Cup GS
418,Poland,"June 14, 2002",1–3,World Cup GS
419,Mexico,"June 17, 2002",2–0,World Cup R16
420,Germany,"June 21, 2002",0–1,World Cup QF
