M,Opponent,Date,Result,team_score,opponent_score,Event
485,Canada,"January 29, 2012",4–0,4,0,Olympic Qualifying F
486,New Zealand,"February 11, 2012",2–1,2,1,Friendly
487,Denmark,"February 29, 2012",5–0,5,0,Algarve Cup
488,Norway,"March 2, 2012",2–1,2,1,Algarve Cup
489,Japan,"March 5, 2012",0–1,0,1,Algarve Cup
490,Sweden,"March 7, 2012",4–0,4,0,Algarve Cup
491,Japan,"April 1, 2012",1–1,1,1,Kirin Challenge Cup
492,Brazil,"April 3, 2012",3–0,3,0,Kirin Challenge Cup
493,China,"May 27, 2012",4–1,4,1,Friendly
494,Sweden,"June 16, 2012",3–1,3,1,Sweden Invitational
495,Japan,"June 18, 2012",4–1,4,1,Sweden Invitational
496,Canada,"June 30, 2012",2–1,2,1,Friendly
497,France,"July 25, 2012",4–2,4,2,Olympics
498,Colombia,"July 28, 2012",3–0,3,0,Olympics
499,North Korea,"July 31, 2012",1–0,1,0,Olympics
500,New Zealand,"August 3, 2012",2–0,2,0,Olympics QF
501,Canada,"August 6, 2012",4–3 AET,4,3,Olympics SF
502,Japan,"August 9, 2012",2–1,2,1,Olympics F
503,Costa Rica,"September 1, 2012",8–0,8,0,Friendly
504,New Zealand,"September 16, 2012",2–1,2,1,Friendly
505,New Zealand,"September 19, 2012",6–2,6,2,Friendly
506,Germany,"October 20, 2012",1–1,1,1,Friendly
507,Germany,"October 23, 2012",2–2,2,2,Friendly
508,Republic of Ireland,"November 28, 2012",5–0,5,0,Friendly
509,Republic of Ireland,"December 1, 2012",2–0,2,0,Friendly
510,China,"December 8, 2012",2–0,2,0,Friendly
511,China,"December 12, 2012",4–0,4,0,Friendly
512,China,"December 15, 2012",4–1,4,1,Friendly
513,Scotland,"February 9, 2013",4–1,4,1,Friendly
514,Scotland,"February 13, 2013",3–1,3,1,Friendly
515,Iceland,"March 6, 2013",3–0,3,0,Algarve Cup
516,China,"March 8, 2013",5–0,5,0,Algarve Cup
517,Sweden,"March 11, 2013",1–1,1,1,Algarve Cup
518,Germany,"March 13, 2013",2–0,2,0,Algarve Cup F
519,Germany,"April 5, 2013",3–3,3,3,Friendly
520,Netherlands,"April 9, 2013",3–1,3,1,Friendly
521,Canada,"June 2, 2013",3–0,3,0,Friendly
522,South Korea,"June 15, 2013",4–1,4,1,Friendly
523,South Korea,"June 20, 2013",5–0,5,0,Friendly
524,Mexico,"September 3, 2013",7–0,7,0,Friendly
525,Australia,"October 20, 2013",4–0,4,0,Friendly
526,New Zealand,"October 27, 2013",4–0,4,0,Friendly
527,New Zealand,"October 30, 2013",1–1,1,1,Friendly
528,Brazil,"November 10, 2013",4–1,4,1,Friendly
529,Canada,"January 31, 2014",1–0,1,0,Friendly
530,Russia,"February 8, 2014",7–0,7,0,Friendly
531,Russia,"February 13, 2014",8–0,8,0,Friendly
532,Japan,"March 5, 2014",1–1,1,1,Algarve Cup
533,Sweden,"March 7, 2014",0–1,0,1,Algarve Cup
534,Denmark,"March 10, 2014",3–5,3,5,Algarve Cup
535,North Korea,"March 12, 2014",3–0,3,0,Algarve Cup
536,China,"April 6, 2014",2–0,2,0,Friendly
537,China,"April 10, 2014",3–0,3,0,Friendly
